Constellation,Distance,Mass,Radius
Canes Venatici,86.1,,

Virgo,32.9,,

Ursa Major,56.1,,

Hydra,33.9,,

Draco,91,,

Ursa Major,25.3,30,0.86

Libra,84.8,,

Libra,60,,

Draco,52.2,,

Ursa Minor,11.1,,

Serpens,72.4,,

Ursa Minor,50.9,,

Corona Borealis,84.5,,

Libra,20,,

Serpens,41.1,,

Scorpius,55.4,,

Hercules,32.6,,

Hercules,50.2,,

Scorpius,52.2,,

Hercules,50.2,,

Triangulum Australe,16.3,,

Draco,28,,

Hercules,39.5,,

Hercules,60.3,,

Draco,72.7,,

Ophiuchus,62.3,,

Draco,97.8,,

Hercules,20,,

Hercules,18.9,,

Ophiuchus,83.8,,

Ophiuchus,28.7,57,

Hercules,30,,

Hercules,74.4,,

Hercules,47,,

Lyra,36,,

Lyra,107,,

Draco,131.1,,

Lyra,55.4,,

Lyra,51.5,,

Vulpecula,22.8,,

Draco,44.4,,

Sagittarius,37.2,,

Delphinus,34.2,,

Aquila,96.2,,

Draco,50.6,,

Pavo,47.9,,

Capricornus,42.4,,

Delphinus,24.5,,

Indus,42.7,,

Pegasus,61.6,,

Piscis Austrinus,46,,

Pegasus,58.7,,

Grus,26.4,,

Pegasus,45,,

Aquarius,53.5,,

Cepheus,46,,

Pegasus,59.7,,

Piscis Austrinus,44.7,,

Pisces,60.7,,

Octans,35.9,,

Aquarius,52.2,,

Grus,37.5,,

Sculptor,70.8,,

Andromeda,90.3,,

Aquarius,37.8,,

Pegasus,51.2,,

Octans,48.6,,

Pegasus,46,,

Aquarius,54.1,,

Pegasus,54.8,,

Tucana,42.7,,

Ursa Major,111,,

Libra,120,40 + 39 + ?,

